,steam_app_id,name,num_updates,days_since_launch,median_players,days_between_updates
0,933110,AoE3,31,470.0,4378.0,15.161290322580646
1,459220,halo-wars,8,1763.0,173.0,220.375
2,1466860,AoE4,7,92.0,22396.0,13.142857142857142
3,1213210,command-and-conquer,6,602.0,1602.0,100.33333333333333
4,466560,northguard,398,2006.0,2044.0,5.040201005025126
5,287450,rise-of-nations,17,2829.0,726.0,166.41176470588235
6,594570,total-war-warhammer-ii,59,1794.0,23547.0,30.406779661016948
7,231430,company-of-heroes,211,3163.0,6746.0,14.990521327014218
8,40950,stronghold,24,3498.0,301.0,145.75
9,813780,AoE2-DE,40,801.0,20373.0,20.025
10,221380,AoE2-HD,79,3219.0,8392.0,40.74683544303797
